Cluster,Covid pct all deaths,Pneumonia pct all deaths,Covid with pneumonia pct,Influenza pct all deaths,Age 65plus covid pct,Male covid pct,Covid 2021 pct 2020-22
0,7.125481651,7.679704639,50.40931794,0.215109737,74.66190833,57.66890321,47.8383808
1,8.12950852,8.039911993,39.04088779,0.233047139,82.67182247,53.56481319,35.01233981
2,9.265173424,9.260083873,47.46262401,0.175262513,76.43456192,53.27949423,42.59147763
3,9.355182993,11.5337651,63.14437975,0.164508528,70.80314468,57.43423962,43.16184957
